studyArea,simObject,gcm,ssp,runID,gid
ABSK_9.1,simOutPreamble,CanESM5,370,,1O2aIsB9s_tIeEeJFwH0ZcuoN-kA_cj7T
ABSK_9.1,simOutPreamble,CanESM5,585,,1Ky-aSwyg3DqlkZqQOw8Eic9_5c9oY-hR
ABSK_9.2,simOutPreamble,CanESM5,370,,1c4cq9pfIRHqX7U2lq75ImojXZHH7JP3f
ABSK_9.2,simOutPreamble,CanESM5,585,,1TRIteA4DwoHXn3QJ49BziaHZj4xlmee-
ABSK_9.2,biomassMaps2001,"",,,1XVQFmy3xEKMtvvUKKWMr5MT8nMHUt31c
ABSK_MPB_9.1,simOutPreamble,CanESM5,370,,""
ABSK_MPB_9.1,simOutPreamble,CanESM5,585,,""
ABSK_MPB_9.1,biomassMaps2001,"",,,""
ABSK_MPB_9.1,biomassMaps2011,"",,,""
ABSK_MPB_9.1,fSsimDataPrep,"",,,""
ABSK_MPB_9.1,ignitionOut,"",,,""
ABSK_MPB_9.1,escapeOut,"",,,""
ABSK_MPB_9.1,spreadOut,"",,1,""
ABSK_MPB_9.1,spreadOut,"",,2,""
ABSK_MPB_9.1,spreadOut,"",,3,""
ABSK_MPB_9.1,spreadOut,"",,4,""
ABSK_MPB_9.1,spreadOut,"",,5,""
ABSK_MPB_9.1,spreadOut,"",,6,""
ABSK_MPB_9.1,spreadOut,"",,7,""
ABSK_MPB_9.1,spreadOut,"",,8,""
ABSK_MPB_9.1,spreadOut,"",,9,""
ABSK_MPB_9.1,spreadOut,"",,10,""
ABSK_MPB_9.1,results,"",,,1GPnIBNkPRnWSh3mD_jrI4qBES-HoERZy
ABSK_MPB_9.2,simOutPreamble,CanESM5,370,,""
ABSK_MPB_9.2,simOutPreamble,CanESM5,370,,1D51uaoHChcROEz-uSDUJMJk3YmSoHhZH
ABSK_MPB_9.2,simOutPreamble,CanESM5,585,,""
ABSK_MPB_9.2,biomassMaps2001,"",,,""
ABSK_MPB_9.2,biomassMaps2001,"",,,1CM_kw9B8pziZJcX71Ho7gyQcgwNQOJ5P
ABSK_MPB_9.2,biomassMaps2011,"",,,""
ABSK_MPB_9.2,biomassMaps2011,"",,,1L-I4x0IRJrLhZL0C4BYkeTxdgfDMjski
ABSK_MPB_9.2,fSsimDataPrep,"",,,""
ABSK_MPB_9.2,ignitionOut,"",,,""
ABSK_MPB_9.2,escapeOut,"",,,""
ABSK_MPB_9.2,spreadOut,"",,1,""
ABSK_MPB_9.2,spreadOut,"",,2,""
ABSK_MPB_9.2,spreadOut,"",,3,""
ABSK_MPB_9.2,spreadOut,"",,4,""
ABSK_MPB_9.2,spreadOut,"",,5,""
ABSK_MPB_9.2,spreadOut,"",,6,""
ABSK_MPB_9.2,spreadOut,"",,7,""
ABSK_MPB_9.2,spreadOut,"",,8,""
ABSK_MPB_9.2,spreadOut,"",,9,""
ABSK_MPB_9.2,spreadOut,"",,10,""
ABSK_MPB_9.2,results,"",,,1tFDY4gdhKNLnMjNZDbta2UXZ3nHO7xdW
